riskAllele,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,mappedGenes,traitName,efoTraits,bgTraits,accessionId,locations
chr21:46916033-?,7.999999999999999e-240,-,NR,1.719,-,[1.673-1.768],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr3:64699445-?,5.999999999999999e-44,-,NR,1.78,-,[1.707-1.857],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr12:27737074-?,9.999999999999999e-34,-,NR,1.4,-,[1.359-1.442],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr16:29348809-?,4.0000000000000003e-28,-,NR,1.216,-,[1.185-1.247],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr16:79360135-?,3e-27,-,NR,1.1737089,-,[1.15-1.2],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr8:135611154-?,2.9999999999999997e-96,-,NR,1.152,-,[1.127-1.177],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr19:22620820-?,6e-25,-,NR,1.213,-,[1.176-1.253],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr7:111916329-?,2e-16,-,NR,1.151,-,[1.123-1.179],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr5:108436958-?,4e-133,-,NR,1.945,-,[1.734-2.182],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr5:120977240-?,3e-46,-,NR,1.2106538,-,[1.17-1.25],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr9:111929013-?,2e-31,-,NR,1.517,-,[1.375-1.673],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr1:164546863-?,1e-10,-,NR,1.257,-,[1.175-1.346],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
chr9:135955826-?,1e-14,-,NR,2.158,-,[1.777-2.619],-,Early-onset Parkinson's disease,Young adult-onset Parkinsonism,-,GCST004138,-
rs356220-T,3e-8,-,0.35,1.37,-,[NR],SNCA,Parkinson's disease,Parkinson disease,-,GCST000874,4:89720189
rs4698412-A,2e-6,-,0.55,1.14,-,[1.08-1.20],BST1,Parkinson's disease,Parkinson disease,-,GCST000874,4:15735725
rs4964469-A,2e-7,-,0.37,1.16,-,[1.09-1.22],"POLR3B,RFX4",Parkinson's disease,Parkinson disease,-,GCST000874,12:106556209
rs6599388-T,4e-12,-,0.31,1.16,-,[1.12-1.20],TMEM175,Parkinson's disease,Parkinson disease,-,GCST000959,4:945299
rs11724635-A,1e-16,-,0.56,1.15,-,[1.11-1.19],BST1,Parkinson's disease,Parkinson disease,-,GCST000959,4:15735478
rs1491942-G,6e-14,-,0.08,1.27,-,[1.21-1.33],LRRK2,Parkinson's disease,Parkinson disease,-,GCST000959,12:40227006
rs34372695-T,4e-12,-,0.03,1.47,-,[1.35-1.59],"RAB25,LAMTOR2",Parkinson's disease,Parkinson disease,-,GCST000959,1:156060246
rs6710823-G,7e-9,-,0.46,1.1,-,[1.06-1.14],CCNT2-AS1,Parkinson's disease,Parkinson disease,-,GCST000959,2:134834811
rs11711441-G,8e-12,-,0.86,1.19,-,[1.13-1.25],MCCC1,Parkinson's disease,Parkinson disease,-,GCST000959,3:183103487
rs356219-G,2e-47,-,0.39,1.29,-,[1.25-1.33],SNCA,Parkinson's disease,Parkinson disease,-,GCST000959,4:89716450
rs2102808-C,4e-10,-,0.12,1.18,-,[1.12-1.24],"STK39,RN7SL813P",Parkinson's disease,Parkinson disease,-,GCST000959,2:168260515
6:32588205-A,2e-14,-,0.76,1.28,-,[1.22-1.34],-,Parkinson's disease,Parkinson disease,-,GCST000959,-
rs12817488-T,3e-13,-,0.41,1.14,-,[1.10-1.18],CCDC62,Parkinson's disease,Parkinson disease,-,GCST000959,12:122811747
rs2942168-G,1.0000000000000001e-28,-,0.78,1.27,-,[1.23-1.31],"LINC02210,LINC02210-CRHR1",Parkinson's disease,Parkinson disease,-,GCST000959,17:45637484
rs6812193-C,8e-10,-,0.64,1.19,-,[1.12-1.27],"FAM47E,FAM47E-STBD1",Parkinson's disease,Parkinson disease,-,GCST001126,4:76277833
rs356220-T,2e-19,-,0.375,1.29,-,[1.22-1.36],SNCA,Parkinson's disease,Parkinson disease,-,GCST001126,4:89720189
rs12185268-A,3e-14,-,0.79,1.3,-,[1.22-1.39],"MAPT-AS1,SPPL2C",Parkinson's disease,Parkinson disease,-,GCST001126,17:45846317
rs10513789-T,3e-10,-,0.80,1.25,-,[1.16-1.33],MCCC1,Parkinson's disease,Parkinson disease,-,GCST001126,3:183042285
rs6599389-A,4e-8,-,0.075,1.31,-,[1.19-1.44],TMEM175,Parkinson's disease,Parkinson disease,-,GCST001126,4:945325
rs4130047-C,2e-7,-,0.31,1.16,-,[1.10-1.23],RIT2,Parkinson's disease,Parkinson disease,-,GCST001126,18:43098270
rs11868035-G,6e-8,-,0.69,1.18,-,[1.11-1.25],SREBF1,Parkinson's disease,Parkinson disease,-,GCST001126,17:17811787
rs34637584-A,2.0000000000000002e-28,-,0.002,9.62,-,[6.43-14.37],LRRK2,Parkinson's disease,Parkinson disease,-,GCST001126,12:40340400
i4000416-C,5e-21,-,0.005,4.05,-,[3.08-5.32],-,Parkinson's disease,Parkinson disease,-,GCST001126,-
rs823156-A,1e-7,-,0.82,1.21,-,[1.12-1.30],SLC41A1,Parkinson's disease,Parkinson disease,-,GCST001126,1:205795512
rs2823357-A,6e-7,-,0.38,1.15,-,[1.09-1.21],"CYCSP42,RNU6-1326P",Parkinson's disease,Parkinson disease,-,GCST001126,21:15542586
rs2839398-?,5e-6,-,NR,1.23,-,[NR],PRDM15,Parkinson's disease,Parkinson disease,-,GCST001430,21:41866243
rs356220-?,8e-35,-,NR,1.38,-,[NR],SNCA,Parkinson's disease,Parkinson disease,-,GCST001430,4:89720189
rs9917256-?,3e-6,-,NR,1.19,-,[NR],"RN7SL813P,STK39",Parkinson's disease,Parkinson disease,-,GCST001430,2:168286525
rs4698412-?,3e-7,-,NR,1.14,-,[NR],BST1,Parkinson's disease,Parkinson disease,-,GCST001430,4:15735725
rs2275336-?,9e-7,-,NR,1.36,-,[NR],CNKSR3,Parkinson's disease,Parkinson disease,-,GCST001430,6:154405854
rs2395163-?,3e-11,-,NR,1.24,-,[NR],"TSBP1-AS1,HLA-DRA",Parkinson's disease,Parkinson disease,-,GCST001430,6:32420032
rs12726330-?,5e-8,-,NR,1.71,-,[NR],SLC50A1,Parkinson's disease,Parkinson disease,-,GCST001430,1:155135691
rs6430538-?,2e-7,-,NR,1.15,-,[NR],CCNT2-AS1,Parkinson's disease,Parkinson disease,-,GCST001430,2:134782397
rs11248060-?,3e-9,-,NR,1.26,-,[NR],DGKQ,Parkinson's disease,Parkinson disease,-,GCST001430,4:970571
rs1296028-?,1e-6,-,NR,1.15,-,[NR],"CTSB,FDFT1",Parkinson's disease,Parkinson disease,-,GCST001430,8:11841238
rs1536076-?,5e-7,-,NR,1.16,-,[NR],SH3GL2,Parkinson's disease,Parkinson disease,-,GCST001430,9:17731923
rs11026412-?,3e-6,-,NR,1.16,-,[NR],ANO5,Parkinson's disease,Parkinson disease,-,GCST001430,11:22092547
rs10877840-?,1e-6,-,NR,1.15,-,[NR],SLC2A13,Parkinson's disease,Parkinson disease,-,GCST001430,12:39959194
rs10519131-?,1e-6,-,NR,1.22,-,[NR],"LINC02349,RORA",Parkinson's disease,Parkinson disease,-,GCST001430,15:61708933
rs11865038-?,4e-7,-,NR,1.14,-,[NR],"PRSS53,ZNF646",Parkinson's disease,Parkinson disease,-,GCST001430,16:31083850
rs199515-?,3e-17,-,NR,1.32,-,[NR],WNT3,Parkinson's disease,Parkinson disease,-,GCST001430,17:46779275
rs12456492-?,2e-10,-,NR,1.19,-,[NR],RIT2,Parkinson's disease,Parkinson disease,-,GCST001430,18:43093415
rs1223271-G,5e-6,-,0.87,1.18,-,[NR],"ISM1,TASP1",Parkinson's disease,Parkinson disease,-,GCST000528,20:13316265
rs6812193-C,4e-7,-,0.66,1.12,-,[NR],"FAM47E,FAM47E-STBD1",Parkinson's disease,Parkinson disease,-,GCST000528,4:76277833
rs7077361-T,5e-6,-,0.89,1.19,-,[NR],ITGA8,Parkinson's disease,Parkinson disease,-,GCST000528,10:15519544
rs2736990-C,2e-16,-,0.51,1.23,-,[NR],SNCA,Parkinson's disease,Parkinson disease,-,GCST000528,4:89757390
rs199533-C,1e-14,-,0.83,1.28,-,[NR],NSF,Parkinson's disease,Parkinson disease,-,GCST000528,17:46751565
