mappedGenes,riskAllele,traitName,pValue,orValue,ChemicalName,Interaction,InteractionActions
AGAP1,rs10929159-A,Parkinson's disease,7e-8,1.0626993,Lead,Lead affects the expression of AGAP1 mRNA,affects^expression
AGAP1,rs10929159-A,Parkinson's disease,7e-8,1.0626993,methylmercuric chloride,methylmercuric chloride results in increased expression of AGAP1 mRNA,increases^expression
ANO5,rs11026412-?,Parkinson's disease,3e-6,1.16,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ANO5 mRNA",affects^cotreatment|decreases^expression
ANO5,rs11026412-?,Parkinson's disease,3e-6,1.16,methylmercuric chloride,methylmercuric chloride results in decreased expression of ANO5 mRNA,decreases^expression
APOE,rs429358-C,Parkinson’s disease progression to dementia,2e-15,2.41,Lead,Lead affects the expression of APOE protein,affects^expression
APOE,rs429358-C,Parkinson’s disease progression to dementia,2e-15,2.41,Mercury,APOE gene polymorphism affects the susceptibility to Mercury,affects^response to substance
APOE,rs429358-C,Parkinson’s disease progression to dementia,2e-15,2.41,methylmercuric chloride,methylmercuric chloride results in decreased expression of APOE mRNA,decreases^expression
ASH1L,rs145330152-C,Parkinson's disease,1e-9,2.22123,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ASH1L mRNA",affects^cotreatment|decreases^expression
BBS9,rs78294974-A,Parkinson’s disease progression to dementia,4e-8,3.9,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of BBS9 mRNA",affects^cotreatment|increases^expression
BBS9,rs78294974-A,Parkinson’s disease progression to dementia,4e-8,3.9,mercuric bromide,mercuric bromide results in increased expression of BBS9 mRNA,increases^expression
BBS9,rs78294974-A,Parkinson’s disease progression to dementia,4e-8,3.9,methylmercuric chloride,methylmercuric chloride results in increased expression of BBS9 mRNA,increases^expression
BRINP1,rs4837628-A,Parkinson's disease,1e-6,1.27,methylmercuric chloride,methylmercuric chloride results in increased expression of BRINP1 mRNA,increases^expression
BST1,rs11724635-A,Parkinson's disease,1e-19,1.1111112,methylmercuric chloride,methylmercuric chloride results in increased expression of BST1 mRNA,increases^expression
CAB39L,rs9568188-T,Parkinson's disease,4e-7,1.0683761,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CAB39L mRNA",affects^cotreatment|increases^expression
CAB39L,rs9568188-T,Parkinson's disease,4e-7,1.0683761,mercuric bromide,mercuric bromide results in increased expression of CAB39L mRNA,increases^expression
CAB39L,rs9568188-T,Parkinson's disease,4e-7,1.0683761,methylmercuric chloride,methylmercuric chloride results in increased expression of CAB39L mRNA,increases^expression
CAMK2D,rs78738012-C,Parkinson's disease,5e-11,1.13,Lead,Lead affects the expression of CAMK2D mRNA,affects^expression
CAMK2D,rs78738012-C,Parkinson's disease,5e-11,1.13,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CAMK2D mRNA",affects^cotreatment|increases^expression
