mappedGenes,riskAllele,traitName,pValue,orValue,ChemicalName,Interaction,InteractionActions
ABCA1,rs1800978-G,Alzheimer's disease,2e-9,1.06,Mercury,Mercury affects the expression of ABCA1 mRNA,affects^expression
ABCA1,rs1800978-G,Alzheimer's disease,2e-9,1.06,Methylmercury Compounds,Methylmercury Compounds affects the expression of ABCA1 mRNA,affects^expression
ABCA1,rs1800978-G,Alzheimer's disease,2e-9,1.06,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCA1 mRNA",affects^cotreatment|increases^expression
ABCA1,rs1800978-G,Alzheimer's disease,2e-9,1.06,methylmercuric chloride,methylmercuric chloride results in decreased expression of ABCA1 mRNA,decreases^expression
ABI3,rs616338-T,Alzheimer's disease,3e-14,1.32,methylmercury II,methylmercury II results in decreased expression of ABI3 mRNA,decreases^expression
ABLIM2,rs11947858-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",3e-6,1.2727755,Lead,Lead affects the expression of ABLIM2 mRNA,affects^expression
ADAM10,rs593742-?,Alzheimer's disease or family history of Alzheimer's disease,6e-11,1.06,methylmercuric chloride,methylmercuric chloride results in decreased expression of ADAM10 mRNA,decreases^expression
ADAMTS1,rs2830489-T,Alzheimer's disease,2e-10,0.95,Lead,Lead affects the expression of ADAMTS1 mRNA,affects^expression
ADAMTS1,rs2830489-T,Alzheimer's disease,2e-10,0.95,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ADAMTS1 mRNA",affects^cotreatment|increases^expression
ADAMTS1,rs2830489-T,Alzheimer's disease,2e-10,0.95,mercuric bromide,mercuric bromide results in increased expression of ADAMTS1 mRNA,increases^expression
ADAMTS1,rs2830489-T,Alzheimer's disease,2e-10,0.95,methylmercuric chloride,methylmercuric chloride results in decreased expression of ADAMTS1 mRNA,decreases^expression
ADAMTS17,rs77466153-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",2e-6,1.2951157,methylmercuric chloride,methylmercuric chloride results in decreased expression of ADAMTS17 mRNA,decreases^expression
ADAMTS19,rs67540991-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",2e-7,1.2765996,methylmercuric chloride,methylmercuric chloride results in decreased expression of ADAMTS19 mRNA,decreases^expression
ADAMTS2,rs149568838-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-6,0.52560776,Lead,Lead affects the expression of ADAMTS2 mRNA,affects^expression
ADAMTS2,rs149568838-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-6,0.52560776,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ADAMTS2 mRNA",affects^cotreatment|decreases^expression
ADAMTS2,rs149568838-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-6,0.52560776,mercuric bromide,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ADAMTS2 mRNA",affects^cotreatment|decreases^expression
ADAMTS2,rs149568838-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-6,0.52560776,methylmercuric chloride,methylmercuric chloride results in decreased expression of ADAMTS2 mRNA,decreases^expression
