DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				COL18A1							chr21:46916033-?	chr21:46916033	0			1	NR	8E-240	239.09691001300806		1.719	[1.673-1.768]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				ADAMTS9, AS2							chr3:64699445-?	chr3:64699445	0			1	NR	6E-44	43.221848749616356		1.78	[1.707-1.857]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				PPFIBP1							chr12:27737074-?	chr12:27737074	0			1	NR	1E-33	33.0		1.4	[1.359-1.442]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				SNX29P2							chr16:29348809-?	chr16:29348809	0			1	NR	4E-28	27.397940008672037		1.216	[1.185-1.247]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				WWOX							chr16:79360135-?	chr16:79360135	0			1	NR	3E-27	26.522878745280337		1.1737089	[1.15-1.2]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				ZFAT							chr8:135611154-?	chr8:135611154	0			1	NR	3E-96	95.52287874528034		1.152	[1.127-1.177]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				ZNF98							chr19:22620820-?	chr19:22620820	0			1	NR	6E-25	24.221848749616356		1.213	[1.176-1.253]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				ZNF277							chr7:111916329-?	chr7:111916329	0			1	NR	2E-16	15.698970004336019		1.151	[1.123-1.179]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				FER							chr5:108436958-?	chr5:108436958	0			1	NR	4E-133	132.39794000867204		1.945	[1.734-2.182]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				RPL18P3							chr5:120977240-?	chr5:120977240	0			1	NR	3E-46	45.52287874528034		1.2106538	[1.17-1.25]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				FRRS1L							chr9:111929013-?	chr9:111929013	0			1	NR	2E-31	30.69897000433602		1.517	[1.375-1.673]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
